timestamp,Track URL,Thumbnail image,Artist name,Track name,Medium image,Album name
2013-12-30 00:02:00,http://www.last.fm/music/Electro+Ferris/_/Fight+Club+(Fukkk+Offf+Remix),,Electro Ferris,Fight Club (Fukkk Offf Remix),,House Line Vol.5
2013-12-29 23:59:00,http://www.last.fm/music/Activator/_/Everything,http://userserve-ak.last.fm/serve/34s/36499973.jpg,Activator,Everything,http://userserve-ak.last.fm/serve/64s/36499973.jpg,Euphoria Hard Dance Awards 2010
2013-12-29 23:54:00,http://www.last.fm/music/Organ+Donors/_/Moggerfoogin+(Kutski+HDA+Intro+Mix),,Organ Donors,Moggerfoogin (Kutski HDA Intro Mix),,Hard Dance Awards 2011
2013-12-29 23:27:00,http://www.last.fm/music/Talla+2XLC+vs.+Robert+Burian/_/d%C3%A9j%C3%A0+vu+Giuseppe+Ottaviani+Mix,http://userserve-ak.last.fm/serve/34s/47043183.jpg,Talla 2XLC vs. Robert Burian,déjà vu Giuseppe Ottaviani Mix,http://userserve-ak.last.fm/serve/64s/47043183.jpg,MASIF HARD DANCE ICONS 003: LISA LASHES
2013-12-29 23:08:00,http://www.last.fm/music/Headhunterz/_/D-Tuned,http://userserve-ak.last.fm/serve/34s/87813953.jpg,Headhunterz,D-Tuned,http://userserve-ak.last.fm/serve/64s/87813953.jpg,The Best Of Headhunterz CD
2013-12-29 23:02:00,http://www.last.fm/music/Headhunterz/_/Dragonborn,http://userserve-ak.last.fm/serve/34s/75601174.jpg,Headhunterz,Dragonborn,http://userserve-ak.last.fm/serve/64s/75601174.jpg,Sacrifice
2013-12-29 23:00:00,http://www.last.fm/music/Dutch+Master/_/What+Goes+Around,,Dutch Master,What Goes Around,,Euphoria Hard Dance Awards 2010
2013-12-29 22:54:00,http://www.last.fm/music/Alex+Kidd/_/Love+of+Loops,,Alex Kidd,Love of Loops,,Hard Dance Awards 2012 (Mixed by Kutski & Zatox & Steve Hill) WEB
2013-12-28 02:00:00,http://www.last.fm/music/The+Knife/_/You+Make+Like+Charity+(Live),http://userserve-ak.last.fm/serve/34s/54158223.png,The Knife,You Make Like Charity (Live),http://userserve-ak.last.fm/serve/64s/54158223.png,Silent Shout-Limited Deluxe Edition
2013-12-28 01:54:00,http://www.last.fm/music/Zatox/_/Atmosphare+(Unnamed+project+extended+mix),,Zatox,Atmosphare (Unnamed project extended mix),,
